#漢字	台羅	方音	白話字	語域	次數	權重	佐證	腔別	例源
衰	sue1	ㄙㄨㄧ/ㄙㄨㆤ	soe	文	98	164	iT,教,日,甘,線		02:婆娑;02:罷癃/疲癃;03:抹一鼻子·灰
衰	sui1	ㄙㄨㄧ/ㄙㄨㆤ	sui	文	17	61	教,日,線		01:地步;02:婆娑;03:麻花兒
衰	tshui1	ㄘㄨㄧ	chhui		2	2			09:功服;21:衰(普閩)
衰	tshue1	ㄘㄨㆤ	chhoe		1	1			21:衰(普閩)
衲	lap8	ㄌㄚㆴ ͘	la̍p		4	44	iT,教,甘		07:衲(台甘);07:衲(普閩);07:㨥
衲	lap4	ㄌㄚㆴ	lap		4	4			07:衲(台甘);07:衲;07:老衲
衲	na2	ㄋㄚˋ	ná		1	1			24:糖衣丸藥
衵	lik4	ㄌㄧㆤㆶ	lek		1	9	甘		07:衵(台甘)
衵	lik8	ㄌㄧㆤㆶ ͘	le̍k		1	9	甘		07:衵(台甘)
衵	jit8	ㆢㄧㆵ ͘	ji̍t		1	9	甘		07:衵(台甘)
衵	ni2	ㄋㄧˋ	ní		1	1			24:糖衣丸藥
衷	thiong1	ㄊㄧㆲ	thiong		6	58	教,日,甘,線		16:折中;16:衷(台甘);16:衷(普閩)
衷	tiong1	ㄉㄧㆲ	tiong		8	24	線		15:心服;16:衷(台甘);16:衷(普閩)
衷	tsiat4	ㄐㄧㄚㆵ	chiat		1	1			16:衷(台甘)
衹	tshi5	ㄑㄧˊ	chhî		3	3			14:祇;16:祗;16:祇
衹	ki5	ㄍㄧˊ	kî		1	1			14:衹(台甘)
衹	tsi2	ㄐㄧˋ	chí		1	1			16:衹(普閩)
衽	jim2	ㆢㄧㆬˋ	jím		1	9	甘		19:衽(台甘)
衽	lim7	ㄌㄧㆬ˫	līm		2	2			08:襝衽;19:衽(普閩)
衾	khim1	ㄎㄧㆬ	khim		2	20	日,甘		14:衾(台甘);14:衾(普閩)
衾	tshin1	ㄑㄧㄣ	chhin		1	1			17:裯
衾	tshin5	ㄑㄧㄣ	chhîn		1	1			17:裯
衿	khim1	ㄎㄧㆬ	khim	語	3	21	日,甘		13:衿(台甘);13:衿;13:青衿
衿	kim1	ㄍㄧㆬ	kim	文	2	10	甘		13:衿(台甘);13:衿(普閩)
袁	uan5	ㄨㄢˊ	oân		2	54	教,日,甘,線		26:袁(台甘);26:袁(普閩)
袂	be7	ㆠㆤ˫	bē		3	75	700,iT,教,比	中漳,南混,蘭漳,高混	03:連袂;04:分袂;19:衽
袈	ka1	ㄍㄚ	ka		7	59	教,日,甘,線		13:袈(台甘);13:袈(普閩);13:袈裟
袈	tsia1	ㄐㄧㄚ	chia		2	2			14:祇;18:袈裟
袋	te7	ㄉㆤ˫	tē	白/語	105	189	iT,教,日,比,甘,線	中漳,北泉,南混,澎泉,竹泉,蘭漳,高混	01:韛;01:被套;01:繃
袋	tai7	ㄉㄞ˫	tāi	文	2	36	教,甘,甘文		05:袋(台甘);05:袋(普閩)
袋	to7	ㄉㆤ˫	tō		6	6			01:繃;05:袋
袋	te3	ㄉㆤ˪	tè		1	1			02:包皮
袋	te5	ㄉㆤˊ	tê		1	1			09:鼓
袋	tai2	ㄉㄞˋ	tái		1	1			15:香煙
袍	poo5	ㄅㆦˊ	pô͘	文/語	22	56	日,甘,線		02:袍(台甘);02:袍(普閩);06:貼邊兒
袍	phau5	ㄆㄠˊ	phâu		6	50	教,日,線		02:袍子·/兒;02:棉袍;06:綈
袍	phau3	ㄆㄠ˪	phàu	文	8	42	日,甘,線		02:袍(台甘);02:袍(普閩);03:蟒袍
袍	pau5	ㄅㄠˊ	pâu	文/白	4	36	甘,甘文,線		02:袍(台甘);02:袍(普閩);02:袍澤
袍	pau1	ㄅㄠ	pau	文	1	1			02:袍(台甘)
袍	tong5	ㄉㆲˊ	tông	文	1	1			02:袍(台甘)
袍	tng5	ㄉㆭˊ	tn̂g	文	1	1			02:袍(台甘)
袎	au2	ㄠˋ	áu		1	9	甘		24:袎(台甘)
袎	iau3	ㄧㄠ˪	iàu		1	9	甘		24:袎(台甘)
袎	iau2	ㄧㄠˋ	iáu		1	1			24:袎(普閩)
袒	than2	ㄊㄢˋ	thán	文	10	44	日,甘,線		01:庇護;02:公平;05:黨
袒	thng3	ㄊㆭ˪	thǹg		1	1			06:袒/襢
袖	siu3	ㄒㄧㄨ˪	siù		3	47	教,日,線		14:酋長;14:群龍無首;19:衽
袖	siu7	ㄒㄧㄨ˫	siū		1	35	日,甘,線		17:抄手兒
袜	ua2	ㄨㄚˋ	óa		3	3			03:袜;03:靺
袜	buat8	ㆠㄨㄚㆵ ͘	boa̍t	文	2	2			25:袜(台甘);25:袜(普閩)
袜	beh8	ㆠㆤㆷ ͘	be̍h	白	2	2			25:袜(台甘);25:袜(普閩)
袜	be2	ㆠㆤˋ	bé		1	1			08:露
袜	bue2	ㆠㆤˋ	bóe		1	1			08:露
袜	biat8	ㆠㄧㄚㆵ ͘	bia̍t	文	1	1			25:袜(台甘)
袜	bueh8	ㆠㄨㆤㆷ ͘	boe̍h	泉	1	1			25:袜(台甘)
袞	kun2	ㄍㄨㄣˋ	kún		6	40	日,甘,線		06:褟邊兒;06:貼邊兒;08:崑崙
袞	kun1	ㄍㄨㄣ	kun		1	1			14:虯髯
袟	thinn7	ㄊㆪ˫	thīⁿ		1	1			22:鎖邊
袢	phuan3	ㄆㄨㄢ˪	phoàn		1	9	甘		02:袢(台甘)
袢	huan5	ㄏㄨㄢˊ	hoân	文	1	1			02:袢(台甘)
袤	boo7	ㆠㆦ˫	bō͘		1	9	甘		03:廣袤
袪	khu1	ㄎㄨ	khu		3	11	甘		01:敗火化痰;09:栝樓/䒷蔞/瓜蔞;14:袪(台甘)
被	pi7	ㄅㄧ˫/ㄆㄧ˫/ㄏㄜ˫	pī	文	250	316	iT,教,日,甘,線		01:扒脫·;01:背黑鍋;01:被(台甘)
被	phue7	ㄆㄨㆤ˫/ㄆㆤ˫	phōe	語	85	179	iT,教,日,比,線,諺	中漳,南混,蘭漳,高混	01:被(台甘);01:被;01:被胎
被	phe7	ㄆㄨㆤ˫/ㄆㆤ˫	phē	白/語	85	155	教,日,比,甘,線	北泉,澎泉,竹泉	01:被(台甘);01:被(普閩);01:被
被	hoo7	ㄅㄧ˫/ㄏㆦ˫	hō͘		40	50	日		06:脫;06:團;06:通
被	phi7	ㄅㄧ˫/ㄆㄧ˫	phī	文	11	27	甘,甘文		01:扒脫·;01:被(台甘);02:碰…壁
被	phe1	ㄆㆤ	phe	語	1	1			02:被(台甘)
被	ho7	ㄏㄜ˫	hō		1	1			24:一口
被	pho7	ㄆㆤ˫	phō		1	1			24:一床
被	phua3	ㄆㄨㄚ˪	phòa		1	1			24:懨懨
袱	hok8	ㄏㆦㆶ ͘	ho̍k		12	78	iT,教,日,甘,線		02:襆被;04:袱(台甘);04:袱(普閩)
袴	khoo3	ㄎㆦ˪	khò͘		3	11	甘		10:袴/�(台甘);10:袴/�(普閩);10:褌
袴	khua3	ㄎㄨㄚ˪	khòa	又音	2	10	甘		04:韍;10:袴/�(台甘)
袴	mua5	ㄇㄨㄚˊ	môa		1	1			10:袴/�(台甘)
袷	kah4	ㄍㄚㆷ	kah	白	2	18	線		13:袷(普閩);14:袷(普閩)
袷	kiap4	ㄍㄧㄚㆴ	kiap	白	7	15	甘		13:袷/裌(台甘);13:袷/裌(普閩);13:袷
袷	khap4	ㄎㄚㆴ	khap		2	10	甘		13:袷(台甘);14:袷(台甘)
袷	kap4	ㄍㄚㆴ	kap	文	3	3			13:袷/裌(普閩);13:袷(普閩);14:袷(普閩)
袷	tsia5	ㄐㄧㄚˊ	chiâ		2	2			02:袷袢;05:褶
袷	hiap4	ㄏㄧㄚㆴ	hiap		1	1			13:袷(台甘)
袷	tshia1	ㄑㄧㄚ	chhia	白	1	1			13:袷(普閩)
袷	hiap8	ㄏㄧㄚㆴ ͘	hia̍p		1	1			14:袷(台甘)
袺	kiat4	ㄍㄧㄚㆵ	kiat		1	9	甘		13:袺(台甘)
袺	khiat4	ㄎㄧㄚㆵ	khiat		1	9	甘		13:袺(台甘)
袼	kok4	ㄍㆦㆶ	kok	文	2	18	甘,甘文		09:袼(台甘);09:袼(普閩)
袼	koh4	ㄍㄜㆷ	koh	語	1	9	甘		09:袼(台甘)
袼	ko1	ㄍㄜ	ko		4	4			09:隔褙·;09:隔褙兒
袽	ju5	ㆡㄨˊ	jû	漳	1	9	甘		19:袽(台甘)
袽	lu5	ㄌㄨˊ	lû	漳	4	4			19:袽(台甘);19:煩<glyph:k/9d;25:網巾
袽	tsu5	ㄗㄨˊ	chû		1	1			19:袽(台甘)
袽	ji5	ㆢㄧˊ	jî		1	1			19:袽(台甘)
袿	kui1	ㄍㄨㄧ	kui	文	4	4			09:袿(台甘)
袿	ke1	ㄍㆤ	ke	文	2	2			09:袿(台甘);09:袿
袿	mui2	ㄇㄨㄧˋ	múi		1	1			09:袿(台甘)
裀	in1	ㄧㄣ	in		1	9	甘		24:裀(台甘)
裁	tshai5	ㄗㄞˊ/ㄘㄞˊ	chhâi		25	109	iT,教,日,比,甘,線	北泉,南混,峽泉,竹泉,金泉,高混	03:面兒;04:裁縫;05:獨裁
裁	tsai5	ㄗㄞˊ	châi		7	41	日,甘,線		06:體裁;12:和;16:專制
裁	tshai2	ㄘㄞˋ	chhái		1	1			09:苟
裁	tsai1	ㄗㄞ	chai		1	1			09:跟頭(/筋斗)
裂	lih8	ㄌㄧㆷ ͘/ㄌㆤㆷ ͘	li̍h	白/語	81	151	教,新,日,甘,線		01:扒脫·;01: 拔縫兒;01:繃
裂	liat8	ㄌㄧㄚㆵ ͘/ㄌㆤㆷ ͘	lia̍t	文	12	72	教,日,甘,甘文,線		01:捭闔;04:分化;08:離間
裂	leh8	ㄌㆤㆷ ͘	le̍h	白/語	14	48	日,甘,線		04:裂縫;08:拉;08:泐
裂	li3	ㄌㄧ˪	lì		1	27	日,線		22:撕
裂	lie2	ㄌㄧㄝˋ	lié	白	5	5			08:裂(普閩);16:破綻;18:不聲不響
裂	lih4	ㄌㄧㆷ	lih		3	3			09:蓇葖;15:釁隙;17:坼
裂	pai2	ㄅㄞˋ	pái		1	1			08:裂(普閩)
裂	hian3	ㄏㄧㄢ˪	hiàn		1	1			08:裂(普閩)
裉	khun3	ㄎㄨㄣ˪	khùn		2	10	甘		10:裉/褃(台甘);10:裉/褃(普閩)
裉	tor1	ㄉㄛ	to̤		1	1			10:裉/褃(台甘)
裋	su7	ㄙㄨ˫	sū	文	1	9	甘		18:裋(台甘)
裌	kiap4	ㄍㄧㄚㆴ	kiap	白	8	44	教,日,甘		13:袷;13:裌(台甘);13:裌(普閩)
裌	kah4	ㄍㄚㆷ	kah	白	2	28	日,線		03:馬甲;13:裌(普閩)
裌	kap4	ㄍㄚㆴ	kap	文	1	1			13:裌(普閩)
裌	tsia5	ㄐㄧㄚˊ	chiâ		1	1			15:褶子·
裎	ting5	ㄉㄧㄥˊ	têng	文	1	9	甘		17:裎(台甘)
裎	thing2	ㄊㄧㄥˋ	théng	文	1	9	甘		17:裎(台甘)
裎	thing5	ㄊㄧㄥˊ	thêng	文	1	9	甘		17:裎(台甘)
裏	lin3	ㄋㄧㆷ/ㄌㄧˋ/ㄌㄧㄣ˪	lìn		147	147			01:繃;01:別;01:賓
裏	li2	ㄌㄧˋ	lí		24	76	教,日,甘,線		01:辯;02:袍裏兒;03:帽裏兒
裏	nih4	ㄋㄧㆷ/ㄌㄧㄣ˪	nih		6	6			04:放刺兒;04:逢三;14:取
裏	lin1	ㄌㄧㄣ	lin		2	2			04:奮;14:求…情
裏	nin3	ㄋㄧㄣ˪/ㄋㄧㆷ	nìn		2	2			09:哥兒;17:盛
裏	lai7	ㄌㄞ˫	lāi		1	1			15:內詳
裏	ni1	ㄋㄧ	ni		1	1			18:涮
裒	poo5	ㄅㆦˊ	pô͘		3	43	iT,教,甘		02:裒(台甘);02:裒(普閩);02:裒斂
裒	phoo1	ㄆㆦ	pho͘		1	9	甘		02:裒(台甘)
裔	e3	ㆤ˪	è		4	70	iT,教,日,甘,線		24:裔(台甘);24:裔;24:苗裔
裔	i7	ㄧ˫/ㆤ˪/ㆤ˫	ī		4	4			03:苗裔;24:裔(台甘);24:裔
裔	i2	ㄧˋ	í		2	2			03:苗裔;16:冑
裔	e7	ㆤ˫	ē		2	2			03:苗裔;24:裔(普閩)
裕	ju7	ㄌㄨ˫/ㆡㄨ˫	jū		18	84	iT,教,日,甘,線		04:富裕;10:寬綽·;14:輕裘肥馬
裕	lu7	ㄌㄨ˫/ㆡㄨ˫/ㆢㄧ˫	lū	白	20	54	教,線		04:富裕;10:寬綽·;14:輕裘肥馬
裕	ji7	ㆢㄧ˫	jī		1	27	日,線		20:總要
裕	u7	ㄨ˫	ū	文	1	1			26:裕(普閩)
裘	hiu5	ㄏㄧㄨˊ	hiû	白/語	56	108	教,日,甘,線		02:皮袍;02:棉袍;02:夾袍
裘	kiu5	ㄍㄧㄨˊ	kiû	文	2	28	日,甘,甘文		14:裘(台甘);14:裘(普閩)
裙	kun5	ㄍㄨㄣˊ	kûn		29	113	iT,教,日,比,甘,線	中漳,北泉,南混,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	01:襬;01:下襬;03:迷你
補	poo2	ㄅㆦˋ	pó͘		194	278	iT,教,新,日,甘,線		01:白白地;01:保養;01:裨
裝	tsng1	ㄗㆭ	chng	白/語	130	188	iT,教,日,線		01:扮;01:裝扮;02:排場·
裝	tsong1	ㄗㆭ/ㄗㆲ	chong	文	113	179	iT,教,日,甘,線		01:擺設兒;01:扮;01:改扮
裝	tsng7	ㄗㆭ˫	chn̄g		6	6			04:粉墨;13:機;15:朱軒繡軸
裟	se1	ㄙㆤ	se	白/語	7	59	教,日,甘,線		13:袈裟;14:衹;18:裟(台甘)
裟	sa1	ㄙㄚ	sa	文	2	18	甘,甘文		18:裟(台甘);18:裟(普閩)
裡	li2	ㄌㄧˋ	lí		2	76	iT,教,日,甘,甘文,線		01:巴;23:安
裡	lin3	ㄌㄧㄣ˪	lìn		49	49			01:播;01:白頭如新;01:暴發
裡	nih4	ㄋㄧㆷ	nih		1	45	教,日,線		01:耙
裡	lin1	ㄌㄧㄣ	lin		1	17	線		03:瞇
裡	li1	ㄌㄧ	li		1	1			01:不精細
裨	pi5	ㄅㄧˊ	pî		6	24	日,甘		01:裨(台甘);01:裨(普閩);02:裨(台甘)
裨	pi1	ㄅㄧ	pi		5	23	日,甘		01:裨(台甘);01:裨(普閩);02:裨(台甘)
裨	pi2	ㄅㄧˋ	pí		2	2			01:裨;02:裨(普閩)
裨	ik4	ㄧㆤㆶ	ek		1	1			02:裨(台甘)
裨	bo5	ㆠㄜˊ	bô		1	1			02:裨(台甘)
裨	poo2	ㄅㆦˋ	pó͘		1	1			02:裨(台甘)
裨	phi5	ㄆㄧˊ	phî		1	1			21:次
裪	to5	ㄉㄜˊ	tô		7	7			13:袺;13:衿;13:襟
裪	tho5	ㄊㄜˊ	thô		1	1			19:斂衽
裯	tiu5	ㄉㄧㄨˊ	tiû		2	10	甘		17:裯(台甘);17:裯(普閩)
裯	to1	ㄉㄜ	to		1	9	甘		17:裯(台甘)
裯	tu5	ㄉㄨˊ	tû		1	9	甘		17:裯(台甘)
裯	tshiu2	ㄑㄧㄨˋ	chhiú		1	1			17:裯(台甘)
裯	ba5	ㆠㄚˊ	bâ		1	1			17:裯(台甘)
裯	ng2	ㆭˋ	ńg		1	1			17:裯(台甘)
裯	lai7	ㄌㄞ˫	lāi		1	1			17:裯(台甘)
裯	bin7	ㆠㄧㄣ˫	bīn		1	1			17:裯(台甘)
裯	sann1	ㄙㆩ	saⁿ		1	1			17:裯(台甘)
裯	baih4	ㆠㄞㆷ	baih		1	1			17:裯(台甘)
裯	kah4	ㄍㄚㆷ	kah		1	1			17:裯(台甘)
裰	tuat4	ㄉㄨㄚㆵ	toat	文	2	10	甘		05:裰(台甘);05:裰(普閩)
裱	piau2	ㄅㄧㄠˋ	piáu	文	2	62	教,日,甘,甘文,線		01:裱(台甘);01:裱(普閩)
裱	pio2	ㄅㄧㄜˋ	pió	白	1	17	線		01:裱(普閩)
裱	kiau2	ㄍㄧㄠˋ	kiáu	文	1	9	甘		01:裱(台甘)
裱	pio3	ㄅㄧㄜ˪	piò		1	1			16:裝幀
裲	liong2	ㄌㄧㆲˋ	lióng		1	1			08:裲(普閩)
裳	tsiunn5	ㄐㄧㆧˊ/ㄐㄧㆫˊ	chiûⁿ	白/語	13	61	iT,日,甘,線		04:篚;07:霓裳;17:褫
裳	siong5	ㄐㄧㆧˊ/ㄒㄧㆲˊ	siông	文	11	53	日,甘,甘文,線		01:襬;07:霓裳;07:襛
裳	tsionn5	ㄐㄧㆧˊ/ㄐㄧㆫˊ	chiôⁿ	語	17	17			02:褊褼;04:篚;04:甫
裳	siang5	ㄒㄧㄤˊ	siâng	文	1	1			17:裳(台甘)
裴	pue5	ㄅㄨㆤˊ	pôe		2	54	教,日,甘,線		02:裴(台甘);02:裴(普閩)
裴	pai5	ㄅㄞˊ	pâi	文	3	11	甘		02:裴(台甘)
裴	hue5	ㄏㄨㆤˊ	hôe	文	1	1			02:裴(台甘)
裸	lo7	ㄌㄜ˫	lō		2	26	甘文,線		08:裸(台甘);26:蛹
裸	loo7	ㄌㆦ˫	lō͘		3	11	甘		08:裸(台甘);08:裸體;08:赤裸裸
裸	kho7	ㄎㄜ˫	khō		1	9	甘		08:裸(台甘)
裸	lo2	ㄌㄜˋ	ló		1	1			08:裸(普閩)
裸	loo2	ㄌㆦˋ	ló͘		1	1			17:赤
裹	ko2	ㄍㄜˋ	kó	文	8	60	教,日,甘,線		09:裹(台甘);09:裹(普閩);09:裹
裹	kau2	ㄍㄠˋ	káu	語	3	19	線		09:裹(普閩);09:裹腿·;09:裹腳·
裹	ko3	ㄍㄜ˪	kò	文	1	9	甘		09:裹(台甘)
裹	ke2	ㄍㆤˋ	ké	白	1	1			09:裹(普閩)
裹	kioh4	ㄍㄧㄜㆷ	kioh	漳	1	1			09:裹(普閩)
裺	iam2	ㄧㆰˋ	iám		3	11	甘		24:裺(台甘);24:裺(普閩);24:裺
裼	theh4	ㄊㆤㆷ	theh	語	23	125	iT,教,新,日,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混	01:赤膊;06:裼(台甘);08:裸
裼	thik4	ㄊㄧㆤㆶ	thek	文	2	18	甘,甘文		06:裼(台甘);06:裼(普閩)
裼	si1	ㄒㄧ	si		2	2			06:袒/襢;06:裼(普閩)
裼	si5	ㄒㄧ/ㄒㄧˊ	sî		2	2			06:袒/襢;06:裼(普閩)
裼	thi2	ㄊㄧˋ	thí		2	2			06:裼(普閩);09:光
裼	the3	ㄊㆤ˪	thè		1	1			09:光
製	tse3	ㄐㄧ˪/ㄗㆤ˪	chè	文	172	242	共,教,日,甘,線		01:鉋床;01:畚箕;01:閉門造車
製	tsi3	ㄐㄧ˪/ㄗㆤ˪	chì		5	5			16:製;19:如法炮製;19:阮咸
製	tse2	ㄗㆤˋ	ché		1	1			08:原料
製	tsue3	ㄗㄨㆤ˪	chòe	白	1	1			16:製(普閩)
裾	ku1	ㄍㄧ/ㄍㄨ	ku		26	78	教,日,甘,線		01: 拔縫兒;01:襬;01:下襬
裾	ki1	ㄍㄧ/ㄍㄨ	ki		32	76	教,日,線		01: 拔縫兒;01:襬;01:下襬
褂	kua3	ㄍㄨㄚ˪	kòa		8	60	教,日,甘,線		08:綹;09:褂(台甘);09:褂(普閩)
褂	kua2	ㄍㄨㄚˋ	kóa		1	1			09:短褂
褆	si7	ㄒㄧ˫	sī		1	9	甘		06:褆(台甘)
複	hok4	ㄏㆦㆶ	hok		46	80	日,甘,線		01:旁午;01:不簡單;02:碰題
複	hok8	ㄏㆦㆶ ͘	ho̍k		1	49	iT,教,線		04:複(台甘)
複	hiu3	ㄏㄧㄨ˪	hiù		1	1			04:複(台甘)
褊	pian2	ㄅㄧㄢˋ	pián		4	12	甘		01:褊(台甘);01:褊(普閩);02:褊(台甘)
褊	pian5	ㄅㄧㄢˊ	piân		5	5			01:褊(台甘);02:褊(台甘);02:褊(普閩)
褊	tshian1	ㄑㄧㄢ	chhian		1	1			01:褊(台甘)
褊	sian1	ㄒㄧㄢ	sian		1	1			01:褊(台甘)
褌	khun1	ㄎㄨㄣ	khun	文	3	11	甘		10:褌/�/�(台甘);10:褌/�/�(普閩);10:褌
褎	iu7	ㄧㄨ˫	iū		1	1			24:褎(台甘)
褎	siu7	ㄒㄧㄨ˫	siū		1	1			24:褎(普閩)
褐	hat4	ㄏㄚㆵ	hat		5	23	日,甘		03:紅米;06:葶藶;12:褐
褐	ho5	ㄏㄜˊ	hô		1	1			18:裋
褒	po1	ㄅㄜ/ㄅㄠ	po		13	97	iT,教,日,比,甘,線	中漳,北泉,峽泉,澎泉,竹泉,蘭漳,金泉,鹿泉	01:褒/�(台甘);01:褒/�(普閩);01:褒貶·
褒	pau1	ㄅㄠ	pau		3	3			04:筆鋒兒;13:勣;18:賞
褓	po2	ㄅㄜˋ	pó		2	20	日,甘		01:褓(台甘);01:褓(普閩)
褕	ju5	ㆡㄨˊ	jû		2	10	甘		26:褕(台甘);26:褕
褘	ui5	ㄨㄧˊ	ûi		1	9	甘		24:禕
褘	hui1	ㄨㄧˊ	hui		1	1			24:禕
褙	pue3	ㄅㄨㆤ˪/ㄅㆤ˪	pòe	文	17	77	教,日,甘,甘文,線		01:褙(台甘);01:褙(普閩);01:裱褙
褙	pe3	ㄅㄨㆤ˪/ㄅㆤ˪	pè	白	9	61	教,日,甘,線		01:褙(普閩);01:裱;01:裱褙
褙	po3	ㄅㄨㆤ˪	pò		1	1			21:𢄧
褚	thu2	ㄊㄨˋ	thú		3	55	教,日,甘,線		17:褚(台甘);17:褚(普閩)
褚	tsu2	ㄗㄨˋ	chú		2	10	甘		17:褚(台甘)
褚	too2	ㄉㆦˋ	tó͘		1	1			17:褚(台甘)
褟	tha1	ㄊㄚ	tha		2	2			18:汗衫;24:糖衣丸藥
褟	thap4	ㄊㄚㆴ	thap		1	1			06:褟(普閩)
褡	tah4	ㄉㄚㆷ	tah	語	4	28	甘,線		05:褡(台甘);05:褡(普閩);08:褡褳
褡	tap4	ㄉㄚㆴ	tap	文	2	18	甘,甘文		05:褡(台甘);05:褡(普閩)
褡	ta1	ㄉㄚ	ta		1	1			18:衣裳·
褥	jiok8	ㄌㄧㆦㆶ ͘/ㆢㄧㆦㆶ ͘	jio̍k	文	8	74	iT,教,日,甘,線		02:苘子·;04:甫;05:墊
褥	liok8	ㄌㄧㆦㆶ ͘/ㆢㄧㆦㆶ ͘	lio̍k		9	35	教,甘		02:苘子·;04:甫;14:寑/寢具
褦	nai7	ㄋㄞ˫	nāi		6	14	甘		07:褦(台甘);07:褦(普閩);07:褦襶
褦	nai2	ㄋㄞˋ	nái		2	2			05:褦襶
褦	lo1	ㄌㄜ	lo		1	1			07:褦襶
褦	tai3	ㄉㄞ˪	tài		1	1			08:褦(台甘)
褪	thng3	ㄊㄨㄣ˪/ㄊㆭ˪	thǹg	白/語	69	175	700,iT,教,日,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,金泉,高混	01:扒;01:扒上扒下;01: 拔親
褪	thuinn3	ㄊㄨㆪ˪/ㄊㆭ˪	thùiⁿ		2	72	700,iT,比,線	蘭漳	06:褪毛;06:褪
褪	thun3	ㄊㄨㄣ˪	thùn	文	6	36	iT,甘,甘文		05:掉色兒;06:褪(台甘);06:褪(普閩)
褪	thue3	ㄊㄨㆤ˪/ㄊㆤ˪	thòe		9	9			06:褪(普閩);06:褪色;08:落色·
褪	thun2	ㄊㄨㄣˋ	thún		7	7			06:脫;06:退色;06:後退
褪	the3	ㄊㄨㆤ˪/ㄊㆤ˪	thè		7	7			06:褪色;08:落色·;08:鎦
褪	theh4	ㄊㆤㆷ	theh		1	1			06:袒/襢
褪	thui3	ㄊㄨㄧ˪	thùi		1	1			06:褪(普閩)
褫	thi2	ㄊㄧˋ	thí		2	66	700,教,甘,線		17:褫(台甘);17:褫(普閩)
褯	seh8	ㄙㆤㆷ ͘	se̍h	語	2	10	甘		13:褯(台甘)
褯	tsia3	ㄐㄧㄚ˪	chià		1	9	甘		13:褯(台甘)
褯	sik8	ㄒㄧㆤㆶ ͘	se̍k		1	9	甘文		13:褯(台甘)
褯	nua7	ㄋㄨㄚ˫	nōa	語	2	2			13:褯(台甘)
褯	tsie2	ㄐㄧㄝˋ	chié		1	1			07:尿布
褯	se7	ㄙㆤ˫	sē	語	1	1			13:褯(台甘)
褯	tsia7	ㄐㄧㄚ˫	chiā		1	1			13:褯(普閩)
褯	se5	ㄙㆤˊ	sê		1	1			19:襦
褰	kian2	ㄍㄧㄢˋ	kián		2	10	甘		14:褰(台甘);24:以
褰	khian1	ㄎㄧㄢ	khian		2	10	甘		14:褰(台甘);14:褰(普閩)
褲	khoo3	ㄎㆦ˪	khò͘		146	230	iT,教,日,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	01:扒;01:剝;01:寬衣博帶
褲	loo5	ㄌㆦˊ	lô͘	又音	1	9	甘		10:褲/袴/�(台甘)
褲	khu2	ㄎㄨˋ	khú		1	1			10:袴子·
褳	lian5	ㄌㄧㄢˊ	liân		3	37	日,甘,線		08:褳(台甘);08:褳(普閩);08:褡褳
褶	tsih4	ㄐㄧㆷ	chih	白	4	20	線		15:褶(普閩);16:褶(普閩);16:襞褶
褶	sip8	ㄒㄧㆴ ͘	si̍p	文	3	11	甘		05:褶(台甘);15:褶(台甘);16:褶(台甘)
褶	tsiap4	ㄐㄧㄚㆴ	chiap	文	2	2			15:褶(普閩);16:褶(普閩)
褶	tie5	ㄉㄧㄝˊ	tiê		1	1			05:褶
褶	sip4	ㄒㄧㆴ	sip		1	1			16:褶曲
褶	liap4	ㄌㄧㄚㆴ	liap		1	1			22:緊縮
褸	lui2	ㄌㄨㄧˋ	lúi	語	2	50	iT,日,甘,線		08:褸(台甘);08:褸(普閩)
褸	lui3	ㄌㄨㄧ˪	lùi		6	46	iT,日,線		08:藍縷;08:襤褸/襤縷/藍縷;22:瑣事
褸	lu2	ㄌㄨˋ	lú	文	4	34	iT,甘,甘文		08:襤褸/襤縷/藍縷;08:褸(台甘);08:褸(普閩)
褸	li2	ㄌㄧˋ	lí		1	1			08:褸(台甘)
褻	siat4	ㄒㄧㄚㆵ	siat		4	38	日,甘,線		03:面首;13:譏諷;13:旁敲側擊
褼	sian1	ㄒㄧㄢ	sian		1	1			02:褊褼
褿	tsiau5	ㄐㄧㄠˊ/ㄗㄠˊ	chiâu	文	22	22			05:調配;06:調和·;09:膏筆
褿	tsau5	ㄐㄧㄠˊ/ㄗㄠˊ	châu	白	16	16			09:膏筆;13:攪勻;14:齊
褿	tso5	ㄗㄜˊ	chô		1	1			14:褿(台甘)
襀	tsioh4	ㄐㄧㄜㆷ	chioh	白	2	20	教		13:襀(普閩);15:絮
襀	tsik4	ㄐㄧㆤㆶ	chek	文	2	2			13:襀(台甘);13:襀(普閩)
襁	kiong2	ㄍㄧㆲˋ	kióng		3	21	日,甘		14:襁(台甘);14:襁(普閩);14:襁
襁	kiang2	ㄍㄧㄤˋ	kiáng		1	1			14:襁(台甘)
襄	siong1	ㄒㄧㆲ	siong		5	57	教,日,甘,線		15:襄(台甘);15:襄(普閩);21:曾經滄海難為水，除卻巫山
襄	siang1	ㄒㄧㄤ	siang		1	17	線		15:襄(台甘)
襆	pok4	ㄅㆦㆶ	pok	文	3	11	甘		02:襆(台甘);02:襆;04:襆(台甘)
