#台羅	漢字（按次數）
hann3	哈 啊 唯
hann5	哈 懸 唅 廈 阿 含 嗯
hann7	跨 限 噓 嘑 踻
hannh4	哈 熇
hap4	合 哈 翕 呷 撲 閤
hap8	合 混 洽 郃 鉿
hat4	喝 褐 轄 縖 嚇 絜 鞨 豁 頜 黠 愒
hat8	乏 學 核 鞨 鶡 觳
hau1	蒿 囂 荷 校 哮 薅 鎒
hau2	吼 哮 好 號 耗 音 害 叫 皓 薅
hau3	孝 候 蔻
hau5	號 候 鶴 蠔 淆 肴 爻 崤 殽
hau7	效 校 候 後 鱟 瓦 侯 厚 偶 齩 姣 壆
haunn2	𤟞 哠 齩
haunn5	懸
haunnh4	齩 嗀
haunnh8	澩
he1	彼 花 灰 瘕 𥉐 恢 火 盻 䀹 痚 許 嫳 嗄 蘤
he2	火 伙 夥 彼 賄 管 計 貨 炮 淬 嚇 傢 匚 喂 栓 烙 爖 吙 熅
he3	貨 歲 載 嗄 吓 台 係 咦
he5	和 回 蝦 霞 攜 畦 兮 蹊 巂 尚 瘕 奚 嵇 茴 下 猗 瑕 嘿 眭 嫵
he7	係 下 會 系 蟹 嗄 夏 睎 暇 廈 付 繫 吓 站 文 伸 螃 瘕 厦
hee2	蹠
heh4	嚇 台
heh8	嘿
henn1	喂
henn2	歇
henn3	誒 嚇 唉 嘿
henn5	哈
hennh4	嚇 歇 呵 咳 哧 嘿 欸
hi1	虛 希 稀 犧 墟 嬉 嘻 唏 哼 嚱 郗 屎 歔 噫 訢 欸
hi2	喜 彼 許 戲 瞌 嬉
hi3	戲 肺 唏 嚱 謔 咥 拍 贔 𠩠 屭 愾 餼 嘻 𣢂
hi5	魚 漁 塭 語 脯 魴 魠
hi7	耳 噓 唏
hia1	靴 彼 𣟵 瓠 呵 桸 班
hia5	遐
hia7	瓦 蟻 𣟵 茲
hiah4	彼 喝 嚇 赫
hiah8	額 伐 㧒
hiak4	謔
hiam1	蘞 薟 辛 辣
hiam2	險 玁
hiam3	喊 噉 蓴
hiam5	嫌 慊
hian1	掀 軒 禤
hian2	顯 㧤 晃 獻 撼 囐 俔 眴
hian3	獻 現 𦜓 㩵 羶 憲 囐 裂 敻 甗 巘 讞
hian5	賢 弦 懸 絃 玄 舷 痃 縣 眩 衒 音 挨 閒 泫 炫 鉉 奘
hian7	現 縣 硯 炫 絢 鉉 見 眩 衒 泫 眴
hiang1	香 鄉 馨 薌 𩠾
hiang2	曉 響 享 响 饗
hiang3	向 享 餉 嚮
hiann1	兄 𩠾 吓
hiann2	顯 嚇 曏
hiann3	向 况 嚮
hiann5	惶 烆 焚 燃 行
hiann7	艾 况
hiannh4	嚇 放 挾 懂 哧
hiannh8	嚇
hiap4	頰 協 袷
hiap8	協 脅 洽 狹 袷 挾 俠 叶
