#台羅	漢字（按次數）
khu1	軀 區 拘 驅 丘 祛 袪 駒 嶇 坵 窟 摳 跔 呿 胠 去 身 別 痀 哭 胐 氹 挎 芤 毆 刳 侉 劬 敺 朐 抾 魼
khu2	去 褲 庫 齲
khu3	去 厝 臼 瞿
khu5	踞 跔 瞿 衢
khu7	懼 惧 臼 柩 㖵 具 文
khua1	誇 夸 垮 姱 咼 骻 跨 胯 刳 侉 𢴣
khua2	可 許 跨 挎 胯 垮 稍 骻 侉 咵
khua3	掛 靠 看 𣹇 挂 罣 跨 胯 袴 許 快 骻 嘩 挎
khua7	靠
khuah4	闊 渴 掛 罣
khuai1	擓
khuai2	快 獪 筷 塊 蹶 澮 劊 夬 款 蒯 擓 噲
khuai3	快 塊 樂 筷 蒯 擓 噲
khuainn3	快 看
khuainnh4	幀 㡧
khuan1	寬 圈 髖 文
khuan2	款 綣 媕
khuan3	勸 券 睏 款 讒
khuan5	權 環 圈 鐶 拳 惓 文 盤 蜷 鬈
khuang1	哐 匡 筐
khuang2	框 壙 況 鑛 眶 貺
khuang5	誑
khuann1	寬 看
khuann2	款 看
khuann3	看 寬 快 闊 雄 側
khuann7	看
khuat4	缺 闕 闊 闋 孓 蕨 厥 劂 蛞 噘 獗 蹶 嶡 撅 觖 㵐 鐝 憠
khuat8	蹶
khue1	溪 科 魁 盔 詼 稽 悝 恢 夾 刮 葵 暌
khue2	踝 課
khue3	課 契 靠 喫 快 蹶 啃 工 咧 架 囓 𨂰 蕨
khue5	葵 瘸 拁 踔 廁 痂 厠
khueh4	揢 缺 夾 瞌 篋 𨂰 挾 挈 狹 䀹 客 𦙫 𥇙
khueh8	夾 狹 愕 挈
khuh8	汨 汩
khui1	開 虧 巋 分 展 傀 窺
khui2	軌 傀 氣 庋 揆 跬 詭 宄 佹 垝 姽 匭 晷 窺
khui3	氣 悸 愧 季 潰 喟 快 傀 愾 䙡 气
khui5	喹
khui7	氣
khuinn3	快
khuinn5	𦜓
khuinn7	囮
khun1	昆 髡 崑 坤 錕 囷 褌 琨 鯤 鵾 麇 捆 焜 醌 鶤
khun2	捆 綑 懇 菌 墾 困 齦 窘 囷 悃 壼 閫 麇 睏 絪 緄 酚 忐 忼 啃 錹 梱 箘 稛 麕 惲
khun3	睏 困 捆 睡 裉 併 𠳁 臥 屯 捃
khun5	勤 蜷 芹 圈 囷 環 懃 捆 纏 蜠 踡 麕
khun7	窘
khut4	屈 窟 堀 矻 詘 出 冤 氹 𨧱 倔
khut8	𣮈 掘 滑 倔
ki1	枝 機 居 基 箕 技 裾 肌 奇 嘰 飢 譏 饑 支 吱 期 車 肢 其 妓 幾 乩 姬 羈 栀 磯 璣 丌 咭 㗆 几 剞 畿 羇 伊 住 記 童 籠 隆 畸 萁 杖 琚 腒
ki2	指 己 舉 矩 紀 幾 几 机 杞 麂 蟣 莒 已 擬 圮 擡 剞 掎 椐 筥 櫸 屺 玘 汜
ki3	記 據 既 鋸 計 痣 寄 紀 其 覬 洎 丌 㗆 騎 驥 懅 暨 冀 廄 見 繫 徛 鑢 懼 疙 旡 垍 塈 拠 据
ki5	期 其 奇 旗 棋 祈 麒 跂 祇 淇 歧 崎 技 蜞 耆 鰭 畸 踦 岐 沂 丌 伎 圻 芪 俟 渠 騏 萁 虯 祁 旂 蚑 碁 琪 琦 祺 頎 綦 錡 蘄 鬐 枝 子 示 畦 剞 畿 觭 瞿 衹 埼 鯕 芑 疧
ki7	己 技 拒 自 忌 具 妓 騎 距 巨 伎 跽 義 已 芰 徛 誼 懼 俱 暨 垍 洎 陭 惎 炬 苣 忮
kia1	迦 驚
kia3	寄 文
kia5	崎 奇 伽 夯 攑 拁 蚑
kia7	崎 陭
kiah4	揭 屐
kiah8	舉 屐 攑 揭 額 屩 矍 節 桀 丮
kiak4	極
kiak8	劇 矍
kiam1	兼 緘 鶼 尷 搛 蒹 縑 鰜 金 鹹 今 鹼 椷
kiam2	減 檢 鹹 鹼 肷 撿 劒 敢 劍 膁 瞼
kiam3	劍 禁
kiam5	鹹 鹽 嚴 鹼 巖 鮭
kiam7	驗 甩
kian1	堅 𠗻 肩 犍 慳 燕 掮 豜 樫 鞬 妍
kian2	繭 囝 趼 蹇 筧 謇 襺 褰 見 絹 瀽 囡 汱 罥
kian3	見 建 毽 鍵 燕 腱
kian5	言 凝 𠗻 乾 墘 犍
kian7	健 件 胘 鍵 強 犍 腱 㹂 鞬 楗
kiang1	公 疆 缸 僵 姜 鞓 繮 礓
kiang2	強 鏹 繈 襁
kiang3	苷
kiang5	強
kiann1	驚 京 兢 件
kiann2	囝 子 外 夾 讀 仔 寡 囡
kiann3	鏡 件 寄 囝
kiann5	行 筕 驚 檠
kiann7	件 健 吆
kiap4	夾 劫 裌 袷 頰 峽 篋 莢 浹 蛺 愜 狹 挾 俠 郟 鋏 䖼 要 跲 鞈 䀹 䛟 匧 蜐 鿃
kiap8	給 䛟
kiat4	結 潔 吉 橘 桔 揭 孑 佶 偈 拮 羯 咭 絜 㧉 挌 恝 孓 劼 㛃 訐 袺 鴂 鴃 鐍
kiat8	傑 竭 磔 楬 碣 桀 揭 偈 羯 潔 攑 結 白 隉 轆 軲 佶 櫭 榤 鮚
kiau1	驕 嬌 澆 交 攪 僥 徼 邀 儌 溝 抄 憍 礄 鞽
kiau2	攪 繳 局 餃 賭 九 矯 徼 蹻 僥 皎 博 調 童 裱 撟 儌 皦 屩
kiau3	叫 徼 噭 語
kiau5	喬 橋 翹 僑 嶠 蕎 荍 趫 鞽
kiau7	撟 轎 撬 矯 撠 𪮮 嶠 勪
kiauh4	攪 撟
kih4	砌 築 㗆 臞 旗 踹
kih8	㗆 飢 咭 戰 嘰
kik4	激 格 擊 革 隔 嗝 戟 亟 極 鬲 棘 膈 骼 殛 墼 菊 挌 滆 槅 氪 鵙 假 音 決 撠 粟 馘 虼 茖 撽 緙 毄 湨 鴃
kik8	極 劇 玉 局 屐 格 獄 屩
kim1	金 今 襟 禁 鈀 衿 憐 錦 淬 籠 慍 爍 鑠
kim2	錦
kim3	禁 噤
kim5	砛 吟
kim7	妗 扲 噤
kin1	根 今 巾 筋 斤 跟 均 芎 矜 緊 泉 都 近 肋 綸 鈞 觔 迄 筠
kin2	緊 謹 僅 囝 囡 巹 堇 槿 速 蓳 墐 瑾 蚓
kin3	見 絹 靳 艮 擎 瑾 覲
kin5	垽 緊 瀽 蹇 齗
kin7	近 僅 饉 睛 瑾 覲 拍 比 堇 墐 廑 殣
king1	經 間 肩 莖 耕 弓 供 㧈 更 驚 鯨 芎 宮 京 羹 矜 庚 涇 荊 扃 輕 挭 兢 冋 秔 稉 賡 鶊 觥 麖 蕉 語 揀 景 灣 𩛿 緪 杛 唪 襇 黥 浭 絚 埂 肱 拱 擎 硜 駉 冏 勍 陘
king2	景 境 警 揀 襇 耿 竟 拱 筧 儆 襉 憬 梗 簡 頸 灣 哽 鯁 骾 龔 梘 剄 璟 扃 泂 炯 迥 絅 更 敬 觸 署 栱 埂 綆 繭 咽 撿 冋 駉 冏 炅 㯋 熲 臩
king3	敬 競 更 供 警 徑 竟 勁 亙 鏡 獍 逕 音 經 頸 句 莖 靂 脛 痙 陘
king5	窮 黥 檠 迎 鯨 擎 勍 惸 煢
king7	頸 競 勁 脛 梗 烴 硬 經 挭 倞 哽 鯁 綆 骾
kinn1	更 羹 經 焿 鹼 鹻 墘 庚 京 鹹 驚 栀 梔
kinn2	骾 鯁 耞 哽 漳 梗
kinn3	見 徑 尸
kinn5	墘 舷 經 疑 紕 築 僅 圻 㨴
kinnh4	見
kinnh8	咭 㗆
kio1	溝
kio3	叫 淬 咯
kio5	橋 茄 蕎 水 蕘
kio7	轎 叫 譊
kioh4	腳 叫 角 裹
kiok4	菊 局 鞠 腳 屩 蹻 掬 矍 鋦 鞫 麯 麴 挶 椈 踘 鐝 攫 蠼 钁
kiok8	局 劇 噱 玉 鋦 屩 醵 侷 跼 屐 矍 臄
kiong1	恭 宮 供 弓 疆 躬 芎 僵 京 薑 姜 繮 礓 肩 給 韁 塨 龔 羌 鏹 穹
kiong2	強 拱 栱 鞏 共 供 仰 珙 鏹 襁 勥 龔 膙 繈 槳 彊
kiong3	供 僵 強
kiong5	強 窮 彊 筇 勥 瓊 蛩 跫 蔸 藭 邛
kiong7	共 強 僵 勥 糨 弶 彊 倞 犟 謽
kionn1	薑 韁 腔 姜 繮 茈
kionn7	強 謽
kip4	急 級 給 伋 及 霤 汲 芨 岌
kip8	及 笈 圾 芨 鈒
kir2	舉
kir3	漳
kir7	距
kirh8	㞘
kirn1	筋
kirn3	近
kirn7	近 視 虹 蝀
kirt4	𫀸
kit4	急 吉 結 給 疙 姞 訖
kit8	姞 文 語 佶 鮚
kiu1	勼 𧺤 縮 跔 鳩 龜 赳 樛 俅 𨁺 九 繆 匊 鬮 㽱 虯 𧺎 朹
kiu2	久 糾 九 灸 韭 玖 㽱 赳
kiu3	究 救 糾 灸 絿 疚 廄 艽 赳 鼼
kiu5	求 球 毬 仇 裘 絿 艽 虯 逑 巰 璆 歸 俅 犰 訄 觩 賕 厹 禸
kiu7	舊 舅 柩 咎 臼 疚 桕
kiuh4	匊 救 縮 掬 吸 咕 䶋
kiuh8	吸 啁
kiunn1	薑 韁 腔 繮 荊 麞 強 疆 姜 茈 犟
kiunn5	強
kiunn7	強 犟 謽 彊 廈 勥
kng1	光 扛 缸 掆 工 條 鋼 擡 碙 岡 崗
kng2	捲 管 卷 廣 蜷 倦
kng3	貫 鋼 券 絭 卷 槓 串 桊 嚴
kng7	縮
ko1	高 膏 篙 哥 糕 歌 戈 咯 鍋 咼 胳 牁 鴿 咖 肐 袼 羔 過 𩰬 疙 𦬗 瘕 擱 堝 科 麗 紇 蒿 槔 仡 圪 咎 皋 睾 稾 蝸 渦 撾 音 文 歹 啡 莖 辜 藁 柯 吤 𦨜 嗝 舸 箇 櫜 鼛 梗 錁 菏
ko2	果 稿 稾 藁 裹 個 粿 虼 硌 鉻 杲 槁 縞 鎬 菓 蜾 餜 薧 音 栲 復 擱 哿 舸 箇 搞 暠 錁
ko3	復 讀 告 過 個 更 划 各 付 膏 箇 誥 鋯 可 却 佫 郜 裹
ko5	𩰬 㩝 隔 膏 笱 蛤 咯 葛 糊 閣 格 咼 鬲 翱 文 瘸 胳 嗝 丐 鎘
ko7	膏 硞 硌 號 㩝 代 滾 遨 翱
koh4	復 讀 胳 更 閣 各 卻 佫 付 擱 句 咯 落 可 廓 肐 袼
koh8	咯 過 却 復 卻
koi1	該
kok4	國 各 穀 嘓 谷 咯 摑 胳 閣 郭 轂 榖 擱 肐 袼 崞 蟈 幗 漍 膕 椁 顎 個 音 孤 白 鈷 喔 告 馘 廓 佫 牿 茖 鉻 骼 唂 鋊 濲 鵠 梏 虢 槨 漷
kok8	咯 擱 嘓 國 各 摑
kong1	公 功 光 攻 工 講 剛 胱 桄 肛 綱 宮 拱 弓 鋼 掆 岡 罡 崗 地 人 舵 缸 棡 洸 蚣 觥 矼 語 司 紅 扛 賁 膀 績 江 豇 犅 䤝 伉 杠 疘 釭 堽 侊 銧 肱 茳
kong2	講 廣 管 栱 公 礦 鄺 話 摃 貢 仰 愖 槓 獷 逛 鑛
kong3	摃 貢 嗊 槓 絳 桄 過 熕 鋼 戇 誆 誑 逛 攻 騙 擴 吥 掆 贛
kong5	狂 俇 鵟 軖 昂 楗 𨎩
kong7	𢗾 逛 誆 誑 工 戇 儑
konn3	嫳 柵 熅
konn5	鼾
koo1	姑 孤 枯 菰 溝 菇 膏 呱 鴣 句 辜 鉤 勾 蛄 箍 購 骷 佝 軲 枸 觚 高 咕 挎 𦨜 緱 篝 鞲 沽 酤 焦 國 淖 苦 古 韝 拘 丈 尼 篙 黴 胍 坩 冓 媾 搆 罟 刳 泃 𩆸
koo2	古 鼓 股 估 鈷 牯 賈 𥑮 枸 苟 詁 蠱 果 䀇 稾 臌 骨 岣 嘏 鑱 顧 早 擂 蚼 狗 垢 罟 羖 瞽 父 參 穀 噴 詬 鈴 慍 笱 佝 冓 沽 茍
koo3	顧 故 固 構 過 雇 購 糊 彀 勾 錮 佝 媾 痼 夠 句 詬 遘 覯 呴 冓 搆 雊 崮 堌
koo5	糊 餬 句 鰗 耇
koo7	怙 五 故 講 咯 辜 苟
kooh4	咯
kop4	嘓 鞹
kor2	古 蠘
kor3	稞
ku1	龜 居 痀 裾 古 佝 車 咕 蚼 奇 踞 呱 菇 骨 久 姑 軲 軀 菰 估 轂 俱 劬 椐 琚 家 孤 厾 過 鈷 股 矩 拘 箍 鼉 跔 辜 却 胍 骷 瘕 呴 駒 沽 酤 觚 唂 罟 拱 泃 腒 鮈 𪚩
ku2	久 舉 矩 韭 語 估 莒 故 蒟 窶 梏 韮 踽 櫸 舁 文 顧 告 固 鋸 愖 擡 牿 枸 距 崮 椐 柜 筥 秬 虡 籧 齲
ku3	句 據 鋸 踞 灸 勾 倨 燂 窶 屨 瞿 漳 廈 骨 舊 究 鑢 距 泃 遽 鐻 蘧 籧 拠 据
ku5	渠 瞿 骨 蕖 璩 鼩 籧 癯 劬 蠼 朐 斪 鴝 磲 蘧 氍 欋 衢 蠷 文 痀 娛 瘻
ku7	具 舊 拒 舅 距 巨 懼 俱 虡 咕 咯 呴 苣 御 鈀 句 踞 柜 炬 倨 犋 詎 鉅 颶 灣 醵 鐙 窶 岣 雊 遽
kua1	歌 瓜 枯 呱 乖 顆 刮 柯 聒 媧 擱 覊 乾 過 括 胍 牁 文 官 羈 颳 緺 鴰 騧 羇 喎
kua2	寡 許 我 掛 蓋 挂 褂 罫 剮 詿
kua3	掛 蓋 卦 過 芥 挂 褂 罣 𠰻 絓 詿 吊 弔 爻
kua5	㞘 呱
kua7	外 捾 誇 若 綰 企
kuah4	割 括 葛 刮 鈀 劙 䒷
kuah8	割
kuai1	乖 瓜 蛙 強 關 杆
kuai2	枴 拐 怪 稈 獪 筸 蒯 杖
kuai3	怪 獪 古 壞
kuai5	蛙
kuai7	乖 𫏓 躗 讆 癖 拐
kuaih4	凳
kuainn1	關 杆 桿
kuainn2	枴 桿 稈 股 秆 柺
kuainn3	慣
kuainn5	懸 高
kuainn7	縣 鼎
kuainnh4	拐
kuainnh8	咯 噘
kuak8	聒
kuan1	關 觀 官 冠 捐 棺 鵑 鰥 綸 軍 瘝 涓 管 倌 娟 悁 蠲 罐 菅 淪 莞 琯 菤 蜎
kuan2	管 館 卷 冠 阮 玩 灌 觀 斡 捲 脘 琯 筦 盥 錈 拍 貫 摜 顴 莞 輨 錧 鸛 㐾 菤
kuan3	慣 罐 灌 貫 券 冠 卷 眷 觀 盥 狷 絹 顴 倦 串 祼 鸛 悁 桊 鄄 睠 穿 絭 摜 毌 丱 雚 瓘 鑵 睊 罥
kuan5	高 懸 權 原 顴 讀 拳 元 鬈 嫄 語 縣 撐 捲 蜷 卷 塬 玄 睠 惓 踡 刓
kuan7	縣 倦 懸 圈 願 慣
kuang1	桄 光 胱
kuang2	桄 臩
kuang3	達
kuang7	踐 跈
kuann1	官 肝 棺 乾 菅 干 杆 竿 捾 文 綰 冠 寒 桿 倌 蕳 蕑 娟
kuann2	趕 寡 許 剮
kuann3	汗 觀 蓋 綰
kuann5	寒 恂
kuann7	汗 捾 綰 摜 弙 提 絭 毌
kuat4	決 訣 括 抉 刮 蹶 聒 块 橛 适 孓 炔 趹 活 栝 䒷 鴰 譎 噘 玦 駃 鴃 斷 蕨 蛞 厥 劂 鴂 鵙 撅 觖 獗 鐍 憠 闋 吷
kuat8	抉 蹶 月 決 礅 块
kue1	雞 瓜 街 機 蛙 乖 灣 龜 說 尾 解 籠 隆
kue2	果 粿 解 改 庋 過 漳 炸 說 炙 柚 疥 碻 𦠖 菓 餜
kue3	過 界 怪 計 獪 檜 會 疥 劊 髻 膾 解 鱖 儈 潔 蹶 劌 澮 鄶 鱠 泉 捎 蕨 襘 鱥 噲 旝
kue5	瓜 鮭
kue7	會 過 易 乖 快 外 噲
kueh4	胳 潔 鍥 刮 郭 語 機 疥 橛 廓 𨂰 刲
kueh8	橛 狹 月 截 挾
kuh4	句 過 卻 究 𣢯 吸 可 却
kuh8	過 句 呴 咕 可 却 久 夠 卻 蜑
kui1	歸 規 佹 胿 龜 機 瑰 皈 袿 窺 幾 圭 閨 奎 掇 䲅 珪 溈 鮭 鬼 詭 軌 邽 硅 銈 媯 瓌
kui2	幾 鬼 軌 詭 宄 庋 傀 匭 季 雄 癸 晷 簋 揆 佹 垝 姽 恑
kui3	貴 季 挂 瑰 桂 檜 掛 劌 劊 癸 悸 愧 軌 罣 瞶 刲 眭
kui5	葵 懷 馗 揆 戣 危 喹 逵 夔 騤 魏
kui7	歸 櫃 跪 匱 遺 懷 饋 悸 蕢 膭 簣 聵 餽 柜 貴 規 臾
kuih4	刮 刲
kuih8	見
kuinn1	關 杆 桿 廈 光 間
kuinn2	捲
kuinn3	慣
kuinn5	懸
kuinn7	縣
kun1	軍 根 巾 君 筋 斤 跟 均 鈞 龜 觔 皸 麇 關 都 滾 涒 袞 潼 肋 犒 綸 迄 麕 釿 筠
kun2	滾 䫀 緄 管 諢 袞 蚓 棍 鯀 混 衮 輥 穩 紕 攪 沸 忼 𥕦 蔉 窘
kun3	棍 滾 艮 劤 茛 䫀 拫 掍
kun5	群 拳 裙 焄 𤉙 麇 麕
kun7	近 郡 群 睛 拍 比 菌 倲 窘 捃
kut4	骨 滑 搰 出 掘 榾 蓇 䯇 扢 鶻 橘 仡 顴 杚 餶
kut8	滑 掘 倔 堀 汨 汩 猾 崛 摀 𣮈 鶻
la1	啦 拉 喇 樂 了 㬮 邋 垃 辣 落 瘌 藍 圾 剌 饞 挪 鞡
la2	落 辣 剌 仔 瘌 臘 擸 哪 刺 喇 吶 邋
la3	啦 了 喇 拉 垃
la5	膋 蟟 喇 拉 旯 鯪 磟 蜊 蟧 嚨 蘿 剌 儖 揦 螺 掠 朥 邋 鐃 流 癔 咬 膫 蠨
la7	撈 撓 鬧 啦 納 覓 𨚗
lah4	垃 喇 拉 蠟 剌 臘 勒 噴 圾 曆 獵 邋 擸
lah8	蠟 獵 曆 臘 勒 喇 魶 拉 癧 靂 腊 啦 納 蚋 鑞 鰳
lai1	人 起 來 鶆
lai2	懶 癩 賚 歹 厲 倈 徠 癘
lai3	來 漏
lai5	來 梨 萊 棃 徠 倈 崍 錸 鶆 舶 摀 淶 郲 漦 杖 叕
lai7	內 利 賴 事 徠 睞 鴟 來 工 裏 覓 癩 礪 瀨 倈 淶 賚 籟 俐 䊪 裯
laih4	欸
lak4	落 橐 轆 漉 摝 力 錄 搦 六 喇 垃 囊 旯 簏 軲 槖
lak8	六 搦 掠 力 磟 慄 略 轆 落 百 碌 漉 犖
lam1	籃 㲯 籠 襤
lam2	攬 荏 覽 欖 爁 蝻 腩 懶 罱 壈 弱 纜 萳 灠
lam3	湳 濫 𨂾 坔 罱 襤 腩 揇 䟜
lam5	南 男 淋 藍 襤 籃 婪 湳 喃 楠 啉 儖 蝻 嵐 父 性 簾 混 譚 諵 㲯 啐 弇
lam7	濫 艦 爁 檻 漤 念 男 㲯 灠 欖 纜
lan1	零 跰 瀾 牙 𡳞 胼 趼 洋 跉
lan2	咱 懶 㑑 爛 赧 攤 恁 濫 輾 戁
lan5	難 零 蘭 欄 鱗 瀾 闌 南 讕 㔂 藍 攔 斕 幱 文 蠻 星 籃 屯 鑭 䪍
lan7	難 𡳞 卵 瀾 爛 脬
lang1	㰍 籠 窩 空 啷 櫳 蘢 踈
lang2	籠 攏 朗 儱 閬 浪 莨 埌
lang3	𥦌 人 㰍 䆡 曠 𠶬
lang5	人 籠 膿 聾 礱 榔 隆 螂 嚨 狼 寡 灣 鋃 瑯 琅 踉 虫 老 農 弄 呵 給 丈 䆡 噍 濃 莨 儂 桹 稂 奘
lang7	弄 人 挵 籠 𥦌 變 䆡 疎
lap4	凹 䟜 垃 納 塌 踏 𠕄 蹋 衲 躐 拉 圾 訥 繳 吶 邋 擸 𠜼
lap8	納 拉 衲 蠟 臘 吶 喇 垃 鈉 𩹾 邋 鑞 文 啦 內 力 䟜 魶 𠕄 訥 㨥 磖 腊 儠
lat4	力 捺 啦 喇 剌
lat8	力 栗 辣 剌 喇 叻 瘌 文 鰳 捺 出 頭 呵 癧 鬎 慄
lau1	撓 撈 譊 嘮 呶 㨮
lau2	老 撓 咾 落 㪹 勞 潦 嘮 扭 耮 謱 蓼 音 語 佬 樂 絡 忸 澇 侗 烙 軂 𤻲 荖 硌
lau3	漏 落 老 澇 㪹 㨨
lau5	流 留 樓 劉 鐃 牢 嵌 醪 潦 呶 文 撓 泡 瘤 嘮 怓 硇
lau7	老 鬧 漏 淖 橈 夾 撓 流 潦 荳 瘻 瘺
lauh4	落 篤
lauh8	落 磕
le1	咧 絡 爾
le2	禮 詈 醴 儡 蠡 咧 瘰 里 傀 澧 鱧 抵 尼 嬭 禰 劙 豊
le3	咧 礪 勒 鑢 禮 麗 哱
le5	螺 犁 璃 麗 黎 瓈 挼 犂 驪 鸝 藜 個 梨 蔾 蜓 黧 腡 離 台 絡 𩑾 泥 剺 坭 棃 蠡 犛 鱺 鮭 䛏
le7	例 麗 勵 厲 隸 鑢 儷 礪 荔 癘 戾 尼 鱺 莉 淚 唳 糲 蠣 篱 第 瓈 曬 沴 蜧 攦 𨁸
lee3	咧
leh4	咧 勒 捋
leh8	咧 裂 笠 捩 㔏 礫 烈 檸 靂 嘞
li1	哩 汝 離 𠻗 裡 入 字 囉 籬 璃 狸 咿 藜 嬉
li2	汝 理 女 里 旅 李 子 裏 你 哩 鯉 履 力 利 俚 爾 喱 邐 裡 戾 瘰 荔 嚦 鬲 詈 娌 悝 栗 櫟 躒 酈 鯪 音 意 厲 語 粒 費 客 吏 癧 瀝 尔 屢 褸 慄 浬 鋰 纚 溧 藶 糲 蠣 蟟 疄 梠 儞 䰖 媕 鉺 㚢
li3	攦 𠜣 字 剺 汝 裂 哩 剓
li5	而 兒 離 簾 籬 狸 厘 驢 梨 帘 釐 璃 尼 麗 藜 閭 氂 喱 漓 蠡 嫠 黐 淋 魑 蜊 漦 犛 貍 罹 縭 灕 蘺 劙 漳 音 已 哩 草 犁 簿 櫚 鐮 剺 俚 醨 驪 鱺 纚 騾 廬 䔧 摛 螭 洏
li7	字 利 離 二 膩 吏 厲 慮 而 濾 餌 痢 莉 哩 俐 詈 鈀 侶 窵 涖 珥 鉺 地 素 文 別 鑱 白 句 併 沛 鋁 佴 隸 浰 呂 梠 貳
lia1	遮
lia2	惹 若 喏 般 粒
lia7	喏 偌
liah4	跡 掠 蹟 迹 摘 拆 剽 塔 剺
liah8	掠 搦 撂 𥍉 力 拿 筊 略 剽 拏
liak8	略 力 掠 啦
liam1	拈 躡 踗 連 跕 臨 念 捻 冉
liam2	染 斂 膁 蘞 殮 襝 薟 蚒 臉 冉 苒 荏 淰 歛 瀲 凜 撿 肷
liam3	念 捻 埝
liam5	連 黏 廉 粘 臨 鐮 淋 鮎 鎌 膁 鯰 濂 簾 拈 帘 臁 薟 蘞 賺 奩 磏 蠊 邊 立 聯 簷 蚒 溓 檐 鬑 襝 搛 襜 髥
liam7	念 殮 唸 斂 捻 彼 瀲
lian1	蔫 音 嗹
lian2	輦 輪 撚 輾 臉 璉 跈 連 練 斂 碾 攆 蘞 鍊 殮 轂 謰 蹍 僆 瀲 攣
lian3	輾 輪 圝 圞 輦 攆
lian5	然 連 年 聯 蓮 憐 燃 令 鰱 謰 漣 褳 難 薟 漳 音 房 簾 少 立 蓬 零 蘭 侗 嗹 帘 奩 怜 宛
lian7	練 煉 連 鏈 鍊 僆 楝 揀 老 然 聯 荔 閵
liang1	量 梁 叫 鏗 璫 粱 囮
liang2	嚷 晾 亮 量 踉 兩 涼 輛 掠 拎 莨 倆 魎
liang5	涼 粱 量 梁 良 娘 糧 樑 莨 喨 高 諒 亮 蜋 踉 墚
liang7	亮 量 諒 讓 涼 膚 輛 倞 悢 喨
liap4	捏 攝 懾 𥍉 拉 粒 襵 捻 聶 囁 灄 苶 躡 鑷 讘 摺 褶 涅 睫
liap8	粒 捏 獵 立 囁 拉 躐 臘 粘 廿 邋 黏 二 蠟 襵 𩯡 躡 囡 涅 顳 鑞 鬣
liat4	遮 列 熱 烈
liat8	熱 列 烈 裂 咧 捩 冽 趔 洌 鬧 立 苶 涅 茢 鴷
liau1	了 撩 爪
liau2	了 擾 爪 瞭 撂 撩 釕 燎 嫋 尥 潦 鐐 蓼 嬈 繞 一 音 料 嬲 ② 槖 繓
liau3	抓 料 了 紗 爪 縐 潦
liau5	條 療 寮 僚 皺 䩌 聊 撩 繚 蹽 燎 潦 遼 縐 鐐 瞭 獠 寥 膋 蟟 飂 醮 蕘 嘹 鷯 讀 𧽽 橈 佬 嘍 膫 饒 著 了 音 流 樓 繆 嬈 漻 敹 䜍 廖 ③ 撂 簝
liau7	料 繚 鐐 尥 繞 廖 瑤 燎 撂 療 瞭 撩 氨 尿 纏 溺 釕 敹 珧
lie1	咧 趔
lie2	裂 捩 躐 劣 烈 埒
lie5	咧
lih4	裂 利 𠜣
lih8	裂 㧫 轣 哩 捏 捺 嚦 咧 按
lik4	勒 力 栗 忸 暱 慄 篥 呃 癧 尼 阨 扼 曆 慝 歷 爍 嫡 衵 惄 肋 泐 簕 傈 凓 溧 搿 鑠 昵 軛
lik8	力 綠 歷 曆 錄 肋 靂 勒 匿 癧 碌 瀝 櫟 菉 溺 鬲 爍 叻 鰳 轢 躒 酈 淥 陸 暱 仂 栗 櫪 藶 礫 鎘 搦 筊 嚦 衵 竻 泐 嘞 慄 欐 轣 氯 昵
lim1	啉 飲 字 韌
lim2	忍 凜 僅 稟 廩 懍 檁 飪 稔 牣
lim3	任 賃
lim5	臨 林 淋 霖 任 痳 尋 廉 琳 啉 蟳 壬
lim7	任 認 賃 飪 仞 臨 恁 衽 紝 念 啉 韌 紉 葚 刃 妊 牣 軔
lin1	乳 輪 鈴 奶 玲 裏 輾 人 裡 艿
lin2	您 恁 淋 痳 動 果 忍 磷 疄 賃
lin3	恁 裏 輪 裡 輾 蹸 圝 轉 圞 鈴 掄 轔
lin5	人 仁 鄰 鱗 磷 麟 憐 燐 綾 淋 轔 漳 恁 粼 嶙 璘 遴 瞵 麐 方 林 蕉 輪 臨 藤 㔂 潾 疄 齦
lin7	認 吝 藺 磷 遴 佞 躪 泉 見 練 輸 𡳞 韌 紉 刃 疄 麐 轔 仞 牣 軔
ling1	乳 奶 瓏 檸 蘢 靈 凌 玲 嬭
ling2	冷 領 令 伶 嶺 濘 踜 儜
ling3	踜 躘 愣
ling5	能 龍 鈴 零 靈 齡 壟 薐 陵 寧 稜 嚀 凌 棱 苓 菱 伶 令 拎 綾 擰 蛉 樑 另 濘 睖 磷 囹 泠 羚 翎 櫺 扔 鴒 掕 玲 巖 檸 甯 獰 聹 崚 塄 楞 瓴 淩 笭 聆 鯪 酃 隴 眼 可 𢯩 龐 岩 叮 艿 䗿 鸋 愣 碐 怜 舲 堎 跉 軨 醽 蘢 夌 仍 碞
ling7	令 另 冗 儾 寧 楝 鴒 濘 閵 𤷖 踜 寬 量 愣 崚 翎 定 語 佞 稜 擰
lio2	瞭 瞜 鏤 䀩 睩
lio3	尿 軁
lio5	撩 撈 掠
lio7	尿 溺 漏
lioh4	瞭 睩
lioh8	略 弱
liok4	逐 肉 弱 陸 追 忸 恧 氯 鑠
liok8	弱 陸 辱 略 搦 六 肉 錄 若 褥 掠 菉 綠 碌 蓼 撂 戮 磟 箬 諾 鍩 逯 勠 騄 䱚 籙 溽 蓐 暴 路 喏 軸 虐 忸 爍 肭 恧 朒 衄 瘧 淥 硉 僇 睩 醁 錴 氯 彊 蒻 縟
liong1	讓 良
